post_id,post_date,is_published,email_sent_at,type,audience,title,subtitle,podcast_url
39376022.briefly-noted-for-2021-07-30-fr,2021-07-30T03:23:00.845Z,true,2021-07-30T03:23:00.884Z,newsletter,everyone,BRIEFLY NOTED: For 2021-07-30 Fr,Things that went whizzing by that I want to remember:,
39335902.briefly-noted-for-2021-07-29-th,2021-07-29T14:34:37.062Z,true,2021-07-29T14:34:37.120Z,newsletter,everyone,BRIEFLY NOTED: For 2021-07-29 Th,Things that went whizzing by that I want to remember:,
39327071.incomplete-draft-long-notes-to-chapter-272,2021-11-17T01:27:39.189Z,true,,newsletter,only_paid,INCOMPLETE DRAFT: LONG NOTES TO: Chapter XIV. Thirty Glorious Years,"For ""Slouching Towards Utopia?: An Economic History of the Long 20th Century"", Basic Books, September 6, 2022",
39326139.incomplete-draft-long-notes-to-chapter-a5d,2021-11-17T01:26:55.034Z,true,,newsletter,only_paid,INCOMPLETE DRAFT: LONG NOTES TO: Chapter XIII. Inclusion,"For ""Slouching Towards Utopia?: An Economic History of the Long 20th Century"", Basic Books, September 6, 2022",
39289124.incomplete-draft-long-notes-to-chapter-00f,2021-11-17T01:26:12.299Z,true,,newsletter,only_paid,INCOMPLETE DRAFT: LONG NOTES TO: Chapter XII. False (& True) Starts to Economic Development in the Global South,"For ""Slouching Towards Utopia?: An Economic History of the Long 20th Century"", Basic Books, September 6, 2022 ",
39288856.incomplete-draft-long-notes-to-chapter-410,2021-11-17T01:25:19.519Z,true,,newsletter,only_paid,INCOMPLETE DRAFT: LONG NOTES TO: Chapter XI. Þe Cold War of Hostile Yet Coexisting Systems,"For ""Slouching Towards Utopia?: An Economic History of the Long 20th Century"", Basic Books, September 6, 2022 ",
39288140.incomplete-draft-long-notes-to-chapter-125,2021-11-17T01:24:20.944Z,true,2021-11-17T01:24:21.014Z,newsletter,only_paid,INCOMPLETE DRAFT: LONG NOTES TO: Chapter X. World War II,"For ""Slouching Towards Utopia?: An Economic History of the Long 20th Century"", Basic Books, September 6, 2022 ",
39267732.briefly-noted-for-2021-07-27-tu,2021-07-27T17:14:03.414Z,true,2021-07-27T17:14:03.472Z,newsletter,everyone,BRIEFLY NOTED: For 2021-07-27 Tu,Things that went whizzing by that I want to remember:,
39242150.incomplete-draft-long-notes-to-chapter-f69,2021-11-17T01:23:43.103Z,true,,newsletter,only_paid,INCOMPLETE DRAFT: LONG NOTES TO: Chapter IX. Fascism and Naziism,"For ""Slouching Towards Utopia?: An Economic History of the Long 20th Century"", Basic Books, September 6, 2022",
39241372.incomplete-draft-long-notes-to-chapter-da8,2021-11-17T01:22:50.450Z,true,,newsletter,only_paid,INCOMPLETE DRAFT: LONG NOTES TO: Chapter VIII. Really-Existing Socialism,"For ""Slouching Towards Utopia?: An Economic History of the Long 20th Century"", Basic Books, September 6, 2022 ",
39237982.incomplete-draft-long-notes-to-chapter-41e,2021-11-17T01:22:21.450Z,true,,newsletter,only_paid,INCOMPLETE DRAFT: LONG NOTES TO: Chapter VII. Þe Great Depression,"For ""Slouching Towards Utopia?: An Economic History of the Long 20th Century"", Basic Books, September 6, 2022",
39184964.podcast-hexapodia-is-e-key-insight-185,2021-07-25T14:32:30.467Z,true,2021-07-25T14:32:30.510Z,podcast,everyone,PODCAST: “Hexapodia” Is þe Key Insight XXIII: Antitrust,Noah Smith & Brad DeLong's 30:00 < [Length of Weekly Podcast] < 60:00,https://bucketeer-e05bbc84-baa3-437e-9518-adb32be77984.s3.amazonaws.com/public/audio/6dbf6d39-4305-4706-b206-0802987f796a.mpga
39160233.chapter-vi-roaring-twenties,2021-08-10T20:06:14.140Z,true,,newsletter,everyone,INCOMPLETE DRAFT: LONG NOTES TO: Chapter VI. Roaring Twenties,"For ""Slouching Towards Utopia?: An Economic History of the Long 20th Century"", Basic Books, September 6, 2022 ",
